Estimate,Trial Number
4,1
4,2
2.66667,3
3,4
3.2,5
2.66667,6
2.28571,7
2,8
1.77778,9
1.6,10
1.81818,11
1.66667,12
1.84615,13
2,14
2.13333,15
2.25,16
2.35294,17
2.44444,18
2.52632,19
2.4,20
2.28571,21
2.18182,22
2.26087,23
2.33333,24
2.4,25
2.46154,26
2.51852,27
2.42857,28
2.48276,29
2.53333,30
2.45161,31
2.375,32
2.42424,33
2.35294,34
2.28571,35
2.22222,36
2.27027,37
2.21053,38
2.25641,39
2.3,40
2.2439,41
2.28571,42
2.32558,43
2.36364,44
2.4,45
2.43478,46
2.46809,47
2.41667,48
2.44898,49
2.48,50
2.5098,51
2.53846,52
2.56604,53
2.59259,54
2.54545,55
2.57143,56
2.59649,57
2.62069,58
2.57627,59
2.6,60
2.62295,61
2.64516,62
2.66667,63
2.6875,64
2.70769,65
2.72727,66
2.74627,67
2.76471,68
2.78261,69
2.8,70
2.8169,71
2.83333,72
2.84932,73
2.86486,74
2.88,75
2.89474,76
2.90909,77
2.87179,78
2.88608,79
2.85,80
2.8642,81
2.87805,82
2.89157,83
2.90476,84
2.91765,85
2.93023,86
2.94253,87
2.95455,88
2.96629,89
2.93333,90
2.9011,91
2.91304,92
2.92473,93
2.93617,94
2.94737,95
2.91667,96
2.92783,97
2.93878,98
2.94949,99
2.96,100
2.9703,101
2.98039,102
2.99029,103
3,104
3.00952,105
2.98113,106
2.99065,107
3,108
2.97248,109
2.98182,110
2.99099,111
3,112
2.97345,113
2.94737,114
2.95652,115
2.96552,116
2.97436,117
2.98305,118
2.9916,119
3,120
2.97521,121
2.95082,122
2.95935,123
2.93548,124
2.944,125
2.92063,126
2.92913,127
2.90625,128
2.91473,129
2.89231,130
2.90076,131
2.90909,132
2.91729,133
2.92537,134
2.93333,135
2.94118,136
2.9489,137
2.92754,138
2.90647,139
2.88571,140
2.89362,141
2.90141,142
2.90909,143
2.91667,144
2.92414,145
2.93151,146
2.91156,147
2.91892,148
2.89933,149
2.90667,150
2.91391,151
2.89474,152
2.90196,153
2.90909,154
2.91613,155
2.92308,156
2.92994,157
2.93671,158
2.9434,159
2.95,160
2.95652,161
2.96296,162
2.96933,163
2.97561,164
2.98182,165
2.98795,166
2.99401,167
3,168
3.00592,169
3.01176,170
3.01754,171
3.02326,172
3.0289,173
3.03448,174
3.04,175
3.04545,176
3.02825,177
3.03371,178
3.01676,179
3.02222,180
3.02762,181
3.03297,182
3.03825,183
3.04348,184
3.04865,185
3.05376,186
3.03743,187
3.04255,188
3.04762,189
3.05263,190
3.05759,191
3.0625,192
3.06736,193
3.05155,194
3.05641,195
3.06122,196
3.04569,197
3.0303,198
3.03518,199
3.04,200
3.02488,201
3.0297,202
3.01478,203
3.01961,204
3.02439,205
3.00971,206
3.01449,207
3.01923,208
3.02392,209
3.02857,210
3.03318,211
3.03774,212
3.04225,213
3.04673,214
3.05116,215
3.05556,216
3.05991,217
3.06422,218
3.05023,219
3.05455,220
3.04072,221
3.02703,222
3.03139,223
3.01786,224
3.02222,225
3.02655,226
3.03084,227
3.03509,228
3.0393,229
3.04348,230
3.04762,231
3.05172,232
3.03863,233
3.04274,234
3.04681,235
3.05085,236
3.05485,237
3.04202,238
3.04603,239
3.05,240
3.05394,241
3.05785,242
3.06173,243
3.06557,244
3.06939,245
3.05691,246
3.06073,247
3.06452,248
3.05221,249
3.04,250
3.04382,251
3.04762,252
3.05138,253
3.05512,254
3.04314,255
3.03125,256
3.01946,257
3.02326,258
3.01158,259
3,260
2.98851,261
2.9771,262
2.96578,263
2.9697,264
2.95849,265
2.94737,266
2.93633,267
2.9403,268
2.94424,269
2.94815,270
2.95203,271
2.95588,272
2.95971,273
2.9635,274
2.96727,275
2.97101,276
2.97473,277
2.97842,278
2.96774,279
2.95714,280
2.96085,281
2.96454,282
2.9682,283
2.97183,284
2.97544,285
2.97902,286
2.98258,287
2.98611,288
2.98962,289
2.9931,290
2.98282,291
2.9863,292
2.98976,293
2.9932,294
2.99661,295
3,296
3.00337,297
3.00671,298
3.01003,299
3.01333,300
3.01661,301
3.00662,302
2.9967,303
3,304
3.00328,305
3.00654,306
3.00977,307
3.01299,308
3.00324,309
3.00645,310
3.00965,311
3.01282,312
3.01597,313
3.00637,314
3.00952,315
3.01266,316
3.01577,317
3.01887,318
3.02194,319
3.025,320
3.01558,321
3.01863,322
3.02167,323
3.02469,324
3.02769,325
3.03067,326
3.03364,327
3.03659,328
3.03951,329
3.04242,330
3.03323,331
3.03614,332
3.03904,333
3.02994,334
3.03284,335
3.03571,336
3.03858,337
3.04142,338
3.04425,339
3.04706,340
3.04985,341
3.05263,342
3.04373,343
3.04651,344
3.04928,345
3.04046,346
3.04323,347
3.04598,348
3.04871,349
3.05143,350
3.05413,351
3.05682,352
3.04816,353
3.03955,354
3.04225,355
3.04494,356
3.03641,357
3.03911,358
3.04178,359
3.04444,360
3.04709,361
3.03867,362
3.04132,363
3.04396,364
3.04658,365
3.04918,366
3.04087,367
3.04348,368
3.03523,369
3.03784,370
3.04043,371
3.04301,372
3.04558,373
3.04813,374
3.05067,375
3.04255,376
3.03448,377
3.03704,378
3.03958,379
3.03158,380
3.03412,381
3.02618,382
3.02872,383
3.03125,384
3.03377,385
3.03627,386
3.03876,387
3.04124,388
3.0437,389
3.04615,390
3.04859,391
3.05102,392
3.05344,393
3.05584,394
3.05823,395
3.06061,396
3.06297,397
3.06533,398
3.06767,399
3.07,400
3.07232,401
3.07463,402
3.07692,403
3.06931,404
3.0716,405
3.07389,406
3.07617,407
3.07843,408
3.0709,409
3.06341,410
3.06569,411
3.06796,412
3.06053,413
3.0628,414
3.06506,415
3.06731,416
3.06954,417
3.07177,418
3.07399,419
3.06667,420
3.06888,421
